date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:53:08	231214/231214	---M-Z	200	added ('OK')	text/html	etag:W/%2237523-OVDKQjW0yUTixT7nI5BW362gZg4%22	https://elcomercio.pe/elecciones/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/elecciones/index.html	(from https://elcomercio.pe/?ref=ecr)
19:53:08	624/624	---M--	200	added ('OK')	binary/octet-stream	etag:%22509f49d6dd081d178490652b0bbeecd5%22	https://cdna.elcomercio.pe/resources/dist/elcomercio/images/default-md.png	C:/My%20Web%20Sites/madeleyne/cdna.elcomercio.pe/resources/dist/elcomercio/images/default-md.png	(from https://elcomercio.pe/?ref=ecr)
19:53:08	155550/155550	---M-Z	200	added ('OK')	text/html	etag:W/%2224d92-ouHgNbl5sawydWKGkqoZRSsmIao%22	https://elcomercio.pe/juegos/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/juegos/index.html	(from https://elcomercio.pe/?ref=ecr)
19:53:09	27080/27080	---M--	200	added ('OK')	image/png	etag:%229e3a3904a208fcb9fb5f327487bb76bd%22	https://cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2MUKBBFH45GVHBYYVKKQQJ2FPM.png	C:/My%20Web%20Sites/madeleyne/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2MUKBBFH45GVHBYYVKKQQJ2FPM.png	(from https://elcomercio.pe/?ref=ecr)
19:53:09	1427487/1427487	---MCZ	200	added ('OK')	text/html	etag:W/%2215b615-YwFB88sgobd/aqXJmP7tUJPZels%22	https://elcomercio.pe/el-comercio-tv/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/el-comercio-tv/index.html	(from https://elcomercio.pe/?ref=ecr)
19:53:09	1452820/1452820	---MCZ	200	added ('OK')	text/html	etag:W/%2216190a-jQRcLk9pqL+b5hLVkQqLjAulwn4%22	https://elcomercio.pe/podcast/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/podcast/index.html	(from https://elcomercio.pe/?ref=ecr)
19:53:09	208584/208584	---M-Z	200	added ('OK')	text/html	etag:W/%2231cbd-MkGEOTkWawatnc/FOTU/KYSici8%22	https://elcomercio.pe/noticias/coronavirus/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/noticias/coronavirus/index.html	(from https://elcomercio.pe/?ref=ecr)
19:53:09	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2000:53:09%20GMT	https://elcomercio.pe/compromiso-autoregulacion-comercial.pdf	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/compromiso-autoregulacion-comercial.1a.delayed	(from https://elcomercio.pe/?ref=ecr)
19:53:10	269807/269807	---MCZ	200	added ('OK')	text/html	etag:W/%2240be4-pkKd1TG04fWWTN0DphdWiTqWOzY%22	https://elcomercio.pe/opinion/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/opinion/index.html	(from https://elcomercio.pe/?ref=ecr)
19:53:10	89594/89594	---M-Z	200	added ('OK')	text/html	etag:W/%2214bee-bOIgJ3lYb4cdd1xo1w9N5gSK1J4%22	https://elcomercio.pe/provecho/	C:/My%20Web%20Sites/madeleyne/elcomercio.pe/provecho/index.html	(from https://elcomercio.pe/?ref=ecr)
